,ticker,change,change_percent,day_open,day_high,day_low,day_close,day_volume,day_vwap,ask,bid,timestamp,exchange,min_open,min_high,min_low,min_close,min_volume,prev_open,prev_high,prev_low,prev_close,prev_volume,prev_vwap
73,C:USDNOK,-0.0328400000000002,-0.30538610325844556,10.7536,10.7536,10.72121,10.72467,17,10.7337,10.78794,10.72076,1686512892000,48,10.72467,10.72467,10.72467,10.72467,1,10.7536,10.7536,10.7536,10.7536,4,10.7536
74,C:USDBZD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1.968418,1.968418,1.968418,1.968418,1,1.9684
75,C:CADTHB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,25.429309,25.429309,25.429309,25.429309,1,25.4293
76,C:THBCHF,-0.00017552000000000192,-0.6723204093983971,0.02605615,0.02605615,0.02593108,0.02593108,9,0.026,0.02615116,0.02593108,1686512261000,48,0.02593108,0.02593108,0.02593108,0.02593108,1,0.02595752,0.02613236,0.02593673,0.0261066,185771,0.026
77,C:CLPBRL,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.00608989,0.00608989,0.00608989,0.00608989,1,0.0061
78,C:USDTTD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,6.634155,6.634155,6.634155,6.634155,1,6.6342
79,C:USDLKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,293.65101,293.65101,293.65101,293.65101,1,293.651
80,C:TTDGBP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.11526471,0.11526471,0.11526471,0.11526471,1,0.1153
81,C:GBPKYD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1.0221497,1.0221497,1.0221497,1.0221497,1,1.0221
82,C:ARSBRL,0.0,0.0,0.01993576,0.02014026,0.01993576,0.02014026,2,0.02004,0.02015251,0.02014026,1686488543000,48,0.02014026,0.02014026,0.02014026,0.02014026,1,0.01992662,0.02014026,0.01992662,0.02014026,4,0.02
83,C:HKDSEK,-0.003667599999999993,-0.26524072895928114,1.380892,1.380892,1.3786951,1.3790763,7,1.3792,1.3837276,1.3790763,1686512050000,48,1.3790763,1.3790763,1.3790763,1.3790763,1,1.380892,1.3827439,1.3808569,1.3827439,3,1.3815
84,C:ILSEUR,0.013933499999999988,5.69197522794862,0.2587255,0.2587255,0.2587255,0.2587255,1,0.2587,0.2592621,0.2587255,1686510280000,48,0.2587255,0.2587255,0.2587255,0.2587255,1,0.244792,0.244792,0.244792,0.244792,1,0.2448
85,C:XAGSAR,-0.14000000000000057,-0.15369414864419867,90.95,90.95,90.95,90.95,1,90.95,90.96,90.95,1686510280000,48,90.95,90.95,90.95,90.95,1,90.97,91.97,90.74,91.09,972,91.2171
86,C:UAHUSD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.02688492,0.02688492,0.02688492,0.02688492,1,0.0269
87,C:USDMWK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1022.33988,1022.33988,1022.33988,1022.33988,1,1022.3399
88,C:AEDJPY,0.0053690000000017335,0.01415500412351625,37.935418,37.935418,37.935418,37.935418,1,37.9354,37.945954,37.935418,1686510280000,48,37.935418,37.935418,37.935418,37.935418,1,37.930049,37.930049,37.930049,37.930049,1,37.93
89,C:SGDJPY,-0.1985000000000099,-0.191285661284659,103.444,103.579,103.444,103.573,9,103.4943,103.93,103.573,1686512591000,48,103.573,103.573,103.573,103.573,1,103.419,104.048,102.865,103.7715,151949,103.7397
90,C:SGDCNY,-0.022504999999999775,-0.4247055792970849,5.27646,5.27646,5.27646,5.27646,1,5.2765,5.345705,5.27646,1686469770000,48,5.27646,5.27646,5.27646,5.27646,1,5.265704,5.298965,5.265704,5.298965,3,5.2804
91,C:GBPBGN,0.003031000000000006,0.13362759914718195,2.271275,2.271275,2.271275,2.271275,1,2.2713,2.288762,2.271275,1686469769000,48,2.271275,2.271275,2.271275,2.271275,1,2.268244,2.271275,2.268244,2.268244,3,2.2693
92,C:NZDCHF,0.0,0.0,0.5526496,0.5530588,0.54903,0.5530588,68,0.5525,0.5535317,0.5530588,1686512292000,48,0.5530588,0.5530588,0.5530588,0.5530588,1,0.5530588,0.5530588,0.5526496,0.5530588,115,0.5529
93,C:THBNZD,-0.000390499999999995,-0.823235435426182,0.0470275,0.04704429,0.0470275,0.04704429,7,0.04704,0.04737561,0.04704429,1686512816000,48,0.04704429,0.04704429,0.04704429,0.04704429,1,0.04752663,0.04752663,0.04743479,0.04743479,2,0.0475
94,C:GBPSLL,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,27761.483,27761.483,27761.483,27761.483,1,27761.483
95,C:CLPCHF,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.00114635,0.0011472,0.00114635,0.0011472,2,0.001147
