implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
0.5722230153789236,180,21.46,,,1.6881552e+18,,,,,0.55,,,put,american,2023-07-28,100,22.0,,-0.22724459094611646,0.08128411803560726,-0.020733079652004736,0.021223643369431562,0.63,176,0.45,589,,0.54,[209],313.0,0.55,1.6881549835677711e+18,2.0,-2.86,,,
0.5723110417050218,484,26.255,,,1.6881552e+18,,,,,1.29,,,call,american,2023-07-28,100,25.0,,0.4696072397312662,0.10649987936400121,-0.029685058263072443,0.026360759790886673,1.35,21,1.16,6,,1.255,[209],319.0,1.29,1.6881539591558461e+18,1.0,1.935,,,
0.5734459008963461,37,26.625,,,1.6873776e+18,,,,,8.85,,,call,american,2024-04-19,100,18.0,,0.8215355614365444,0.021018833835952346,-0.007203948780012853,0.05847474430689872,9.15,170,8.1,182,,8.625,[209],303.0,8.85,1.687355475059e+18,1.0,2.305,,,
0.5737670702716786,27,23.145,,,1.6881552e+18,,,,,1.75,,,put,american,2023-07-28,100,25.0,,-0.5333590925377162,0.10732107830068954,-0.026583231684387178,0.02633072971690763,2.0,1,1.71,1,,1.855,[209],325.0,1.75,1.688151989546768e+18,10.0,-1.18,,,
0.5739707797272274,247,23.59,,,1.6881552e+18,,,,,1.38,,,put,american,2023-07-14,100,25.0,,-0.5768922570096795,0.153121007455819,-0.03873948241637398,0.018203768847560385,1.55,11,1.27,394,,1.41,[232],312.0,1.38,1.688154428189863e+18,2.0,-0.73,,,
0.5741211213115757,1374,22.315,,,1.6881552e+18,,,,,0.68,,,put,american,2023-07-21,100,23.0,,-0.3071298323536613,0.11057793148344398,-0.028410368102030868,0.01881487052346879,0.72,338,0.65,756,,0.685,[209],313.0,0.68,1.6881549869816438e+18,5.0,-2.0,,,
0.5752776319773807,64,23.765,,,1.6881552e+18,,,,,1.53,,,put,american,2023-07-14,100,25.5,,-0.6480469705410145,0.14575477106497003,-0.03666532910982016,0.01614383223187833,1.95,11,1.52,73,,1.735,[233],302.0,1.53,1.688137721992189e+18,1.0,-0.555,,,
0.5755461434513922,5,22.965,,,1.6881552e+18,,,,,1.87,,,put,american,2023-08-04,100,25.0,,-0.5207190649645996,0.09559819050284583,-0.023634119815023762,0.02954146769146798,2.33,2,1.74,215,,2.035,[209],315.0,1.87,1.6881445575584276e+18,1.0,-1.36,,,
0.5759612255471105,2477,25.495,,,1.6881552e+18,,,,,1.44,,,call,american,2023-07-21,100,24.0,,0.5735881625681729,0.12194629470437925,-0.03451396622079495,0.022077034092580508,1.57,635,1.42,32,,1.495,[209],315.0,1.44,1.688155189960046e+18,25.0,1.175,,,
0.5762271598680039,3004,25.175,,,1.687896e+18,,,,,8.95,,,call,american,2024-01-19,100,15.0,,0.9220766249225506,0.014228832192773983,-0.005540820435246256,0.022383494555157667,10.65,575,9.7,12,,10.175,[227],309.0,8.95,1.6878827423e+18,1.0,0.855,,,
0.5776836261273789,260,25.72,,,1.6881552e+18,,,,,1.81,,,call,american,2023-07-28,100,24.0,,0.5736895023974384,0.10456515075075637,-0.029981810814097523,0.025666089868846262,1.92,76,1.52,8,,1.72,[209],322.0,1.81,1.6881528636648463e+18,1.0,1.4,,,
0.5778087528503032,370,31.05,,,1.6881552e+18,,,,,8.3,,,call,american,2025-01-17,100,23.0,,0.7069498250417112,0.01982732653608964,-0.00668613519827621,0.10336584835273609,9.0,391,7.1,666,,8.05,[233],302.0,8.3,1.6881335595971725e+18,1.0,6.73,,,
