,implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
138,0.334978693124403,919,192.85,,,1.6884144e+18,,,,,17.56,,,call,american,2023-07-14,100,175.0,,0.9606506717294696,0.00787701818508734,-0.0656920313658671,0.03007526957978573,17.9,8,17.8,2,,17.85,[232],322.0,17.56,1.6884005346043308e+18,1.0,0.4,,,
243,0.33316490719981506,30202,193.025,,,1.6884144e+18,,,,,23.1,,,call,american,2023-07-21,100,170.0,,0.9633681640034155,0.005741028729757195,-0.05252402667319589,0.037992766049322495,23.1,42,22.95,39,,23.025,[209],303.0,23.1,1.68840353959818e+18,1.0,0.575,,,
139,0.33292680757138615,214,192.975,,,1.6884144e+18,,,,,15.12,,,call,american,2023-07-14,100,177.5,,0.9371738893929725,0.011730253545339886,-0.08657498620291876,0.052602233929915136,15.65,40,15.3,16,,15.475,[227],304.0,15.12,1.688399149205e+18,1.0,0.525,,,
1535,0.3361014783498497,8950,108.28,,,1.6884144e+18,,,,,1.71,,,put,american,2025-01-17,100,110.0,,-0.04410529374410707,0.0011848627149307943,-0.005492673618535449,0.23739113499033937,1.92,382,1.52,403,,1.72,[209],313.0,1.71,1.6883961616395574e+18,1.0,-84.2,,,
1283,0.32529421919755147,64,200.975,,,1.6884144e+18,,,,,76.52,,,call,american,2024-09-20,100,125.0,,0.9329072976909951,0.0017749223257625766,-0.02163507530167641,0.23509652480536458,76.85,63,75.1,50,,75.975,[232],312.0,76.52,1.6883920642779505e+18,1.0,8.525,,,
830,0.3614551419248303,2120,129.585,,,1.6884144e+18,,,,,0.41,,,put,american,2023-11-17,100,130.0,,-0.023706687997784283,0.0013283413187152727,-0.008177512118755148,0.08444704198952208,0.42,137,0.41,5,,0.415,[219],307.0,0.41,1.6884033943997332e+18,1.0,-62.9,,,
1327,0.36406195092404303,152,99.16,,,1.6881552e+18,,,,,0.83,,,put,american,2024-09-20,100,100.0,,-0.024584232480956644,0.0007543754402286648,-0.004369700182674585,0.11791992073620844,0.97,675,0.71,464,,0.84,[209],304.0,0.83,1.688154186968e+18,1.0,-93.3,,,
1425,0.4000067019382322,489,79.485,,,1.6875504e+18,,,,,0.69,,,put,american,2024-12-20,100,80.0,,-0.013326167731468835,0.00037447768423782846,-0.002655414851504327,0.11061286405492496,0.63,363,0.4,414,,0.515,[209],313.0,0.69,1.687528689607e+18,1.0,-113.0,,,
1058,0.4016043529625711,0,192.3,,,1.6873776e+18,,,,,105.79,,,put,american,2024-01-19,100,290.0,,-0.9610162043440412,0.004271359134867899,-0.006746523272390054,0.1329005033152197,98.8,67,96.6,67,,97.7,[232],301.0,105.79,1.687374794382e+18,1.0,-0.15,,,
205,0.403475832922627,0,191.975,,,1.6881552e+18,,,,,16.6,,,put,american,2023-07-14,100,210.0,,-0.9005476917658594,0.014660718997198284,-0.0967091110986013,0.058152324601909784,18.7,37,17.35,31,,18.025,[227],312.0,16.6,1.688153684618e+18,1.0,-0.475,,,
349,0.4045979104171697,75,193.175,,,1.6884144e+18,,,,,34.0,,,call,american,2023-07-28,100,160.0,,0.9695262939518607,0.0034286324611372274,-0.04740654736652096,0.04365202574062226,33.25,4,33.1,21,,33.175,[233],302.0,34.0,1.6883913122990973e+18,1.0,0.725,,,
32,0.40584049935104294,4055,192.625,,,1.6884144e+18,,,,,12.52,,,call,american,2023-07-07,100,180.0,,0.965337135260244,0.010543163203475044,-0.10979332923032244,0.0174168534381941,12.7,20,12.55,40,,12.625,[233],302.0,12.52,1.6884033130580196e+18,1.0,0.175,,,
1424,0.406955987729281,256,74.6,,,1.6878096e+18,,,,,0.53,,,put,american,2024-12-20,100,75.0,,-0.010392474530004284,0.0002944912569439731,-0.002175623455814653,0.053468045843959866,0.59,66,0.21,392,,0.4,[227],312.0,0.53,1.687806264443e+18,1.0,-118.0,,,
1624,0.40833149463017115,110,64.585,,,1.6869456e+18,,,,,0.5,,,put,american,2025-06-20,100,65.0,,-0.009195178954584897,0.0002285910597953937,-0.0016622975745649868,0.05551086162388767,0.82,163,0.01,306,,0.415,[227],312.0,0.5,1.686923103359e+18,1.0,-128.0,,,
1122,0.41036524616193565,495,94.75,,,1.6881552e+18,,,,,0.26,,,put,american,2024-03-15,100,95.0,,-0.009761141875536169,0.00039531722787955925,-0.0031119975088693386,0.04588665334922681,0.27,56,0.23,440,,0.25,[227],312.0,0.26,1.688155007045e+18,1.0,-97.7,,,
1371,0.41098833462540013,1,196.9,,,1.6863408e+18,,,,,110.98,,,call,american,2024-12-20,100,75.0,,0.9825842358910865,0.0002953871235644705,-0.00942654618368484,0.05300091996576028,123.25,5,120.55,5,,121.9,[232],308.0,110.98,1.686321269858e+18,1.0,4.45,,,
827,0.4115905165611776,981,114.775,,,1.6884144e+18,,,,,0.23,,,put,american,2023-11-17,100,115.0,,-0.012052879273830084,0.0006473586676904148,-0.00524565233496616,0.03957308259137132,0.24,116,0.21,133,,0.225,[209],325.0,0.23,1.6883927362188524e+18,1.0,-77.7,,,
